"DXXPT70X.Code.or.Value","DXXPT70X.Value.Description","DXXPT70X.Count","DXXPT70X.Cumulative","DXXPT70X.Skip.to.Item"
"5.7 to 562.3","Range of Values",3194,3194,NA
".","Missing",514,3708,NA
