"LBDBR2LC.Code.or.Value","LBDBR2LC.Value.Description","LBDBR2LC.Count","LBDBR2LC.Cumulative","LBDBR2LC.Skip.to.Item"
"0","At or above the detection limit",1601,1601,NA
"1","Below lower detection limit",386,1987,NA
".","Missing",350,2337,NA
