"CBD725.Code.or.Value","CBD725.Value.Description","CBD725.Count","CBD725.Cumulative","CBD725.Skip.to.Item"
"1","Always",1069,1069,NA
"2","Most of the time",748,1817,NA
"3","Sometimes",934,2751,NA
"4","Rarely",948,3699,NA
"5","Never",908,4607,NA
"6","Never buy these items",82,4689,NA
"7","Refused",0,4689,NA
"9","Don't know",35,4724,NA
".","Missing",1675,6399,NA
