"ALQ120U.Code.or.Value","ALQ120U.Value.Description","ALQ120U.Count","ALQ120U.Cumulative","ALQ120U.Skip.to.Item"
"1","Week",1567,1567,NA
"2","Month",926,2493,NA
"3","Year",1171,3664,NA
"7","Refused",0,3664,NA
"9","Don't know",0,3664,NA
".","Missing",2395,6059,NA
