"DXXL4A.Code.or.Value","DXXL4A.Value.Description","DXXL4A.Count","DXXL4A.Cumulative","DXXL4A.Skip.to.Item"
"10.04 to 27.27","Range of Values",2637,2637,NA
".","Missing",1071,3708,NA
