"WTSSMC2Y.Code.or.Value","WTSSMC2Y.Value.Description","WTSSMC2Y.Count","WTSSMC2Y.Cumulative","WTSSMC2Y.Skip.to.Item"
"1698.140646 to 236761.65842","Range of Values",5208,5208,NA
"0","No lab specimen",2,5210,NA
".","Missing",0,5210,NA
