"PHQ040.Code.or.Value","PHQ040.Value.Description","PHQ040.Count","PHQ040.Cumulative","PHQ040.Skip.to.Item"
"1","Yes",79,79,NA
"2","No",9479,9558,NA
".","Missing",277,9835,NA
