"AUXLR174.Code.or.Value","AUXLR174.Value.Description","AUXLR174.Count","AUXLR174.Cumulative","AUXLR174.Skip.to.Item"
"-8 to 62","Range of Values",1883,1883,NA
".","Missing",163,2046,NA
