"DR2DAY.Code.or.Value","DR2DAY.Value.Description","DR2DAY.Count","DR2DAY.Cumulative","DR2DAY.Skip.to.Item"
"1","Sunday",16411,16411,NA
"2","Monday",15104,31515,NA
"3","Tuesday",19619,51134,NA
"4","Wednesday",16090,67224,NA
"5","Thursday",12215,79439,NA
"6","Friday",10603,90042,NA
"7","Saturday",3458,93500,NA
".","Missing",0,93500,NA
