"LBDTIBSI.Code.or.Value","LBDTIBSI.Value.Description","LBDTIBSI.Count","LBDTIBSI.Cumulative","LBDTIBSI.Skip.to.Item"
"5.91 to 136.94","Range of Values",8762,8762,NA
".","Missing",1167,9929,NA
