"DXXINITX.Code.or.Value","DXXINITX.Value.Description","DXXINITX.Count","DXXINITX.Cumulative","DXXINITX.Skip.to.Item"
"139.9 to 367","Range of Values",3274,3274,NA
".","Missing",434,3708,NA
