"TYXP197.Code.or.Value","TYXP197.Value.Description","TYXP197.Count","TYXP197.Cumulative","TYXP197.Skip.to.Item"
"-296 to -9","Range of Values",845,845,NA
".","Missing",7624,8469,NA
