"URX2MH.Code.or.Value","URX2MH.Value.Description","URX2MH.Count","URX2MH.Cumulative","URX2MH.Skip.to.Item"
"3.54 to 18200","Range of Values",2466,2466,NA
".","Missing",85,2551,NA
