"OHD15LAM.Code.or.Value","OHD15LAM.Value.Description","OHD15LAM.Count","OHD15LAM.Cumulative","OHD15LAM.Skip.to.Item"
"0 to 10","Range of Values",2310,2310,NA
"99","Calculation cannot be determined",481,2791,NA
".","Missing",4339,7130,NA
