"DS1IVB6.Code.or.Value","DS1IVB6.Value.Description","DS1IVB6.Count","DS1IVB6.Cumulative","DS1IVB6.Skip.to.Item"
"0.003 to 10000","Range of Values",1831,1831,NA
".","Missing",3863,5694,NA
