"WHD080P.Code.or.Value","WHD080P.Value.Description","WHD080P.Count","WHD080P.Cumulative","WHD080P.Skip.to.Item"
"42","Started to smoke or began to smoke again",24,24,NA
".","Missing",6865,6889,NA
