"DS2TNIAC.Code.or.Value","DS2TNIAC.Value.Description","DS2TNIAC.Count","DS2TNIAC.Cumulative","DS2TNIAC.Skip.to.Item"
"0.2 to 1282","Range of Values",1674,1674,NA
".","Missing",8579,10253,NA
