"LBXTR.Code.or.Value","LBXTR.Value.Description","LBXTR.Count","LBXTR.Cumulative","LBXTR.Skip.to.Item"
"16 to 3780","Range of Values",3988,3988,NA
".","Missing",476,4464,NA
