"DS2IIRON.Code.or.Value","DS2IIRON.Value.Description","DS2IIRON.Count","DS2IIRON.Cumulative","DS2IIRON.Skip.to.Item"
"0.0004 to 216","Range of Values",941,941,NA
".","Missing",4585,5526,NA
