"AUDTYR37.Code.or.Value","AUDTYR37.Value.Description","AUDTYR37.Count","AUDTYR37.Cumulative","AUDTYR37.Skip.to.Item"
"0 to 2.22","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
