"DXXPT5X.Code.or.Value","DXXPT5X.Value.Description","DXXPT5X.Count","DXXPT5X.Cumulative","DXXPT5X.Skip.to.Item"
"373 to 1010.1","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
