"URDAAMLC.Code.or.Value","URDAAMLC.Value.Description","URDAAMLC.Count","URDAAMLC.Cumulative","URDAAMLC.Skip.to.Item"
"0","At or above the detection limit",2463,2463,NA
"1","Below lower detection limit",3,2466,NA
".","Missing",85,2551,NA
