"URDCEMLC.Code.or.Value","URDCEMLC.Value.Description","URDCEMLC.Count","URDCEMLC.Cumulative","URDCEMLC.Skip.to.Item"
"0","At or above the detection limit",2578,2578,NA
"1","Below lower detection limit",31,2609,NA
".","Missing",146,2755,NA
