"URXAAM.Code.or.Value","URXAAM.Value.Description","URXAAM.Count","URXAAM.Cumulative","URXAAM.Skip.to.Item"
"1.56 to 3120","Range of Values",2466,2466,NA
".","Missing",85,2551,NA
