"RFXC042.Code.or.Value","RFXC042.Value.Description","RFXC042.Count","RFXC042.Cumulative","RFXC042.Skip.to.Item"
"-7.246 to 5.273","Range of Values",33703,33703,NA
".","Missing",18,33721,NA
