"AUQ160.Code.or.Value","AUQ160.Value.Description","AUQ160.Count","AUQ160.Cumulative","AUQ160.Skip.to.Item"
"1","Yes",126,126,"AUQ180"
"2","No",98,224,""
"7","Refused",0,224,""
"9","Don't know",0,224,""
".","Missing",9269,9493,""
