"CVDR3SY.Code.or.Value","CVDR3SY.Value.Description","CVDR3SY.Count","CVDR3SY.Cumulative","CVDR3SY.Skip.to.Item"
"90 to 257","Range of Values",1901,1901,NA
".","Missing",2701,4602,NA
