"MCQ250G.Code.or.Value","MCQ250G.Value.Description","MCQ250G.Count","MCQ250G.Cumulative","MCQ250G.Skip.to.Item"
"1","Yes",627,627,"MCQ260GA"
"2","No",4578,5205,""
"7","Refused",3,5208,""
"9","Don't know",202,5410,""
".","Missing",5060,10470,""
