"RFXC120.Code.or.Value","RFXC120.Value.Description","RFXC120.Count","RFXC120.Cumulative","RFXC120.Skip.to.Item"
"-4.022 to 5.927","Range of Values",51057,51057,NA
".","Missing",19,51076,NA
