"DBQ780.Code.or.Value","DBQ780.Value.Description","DBQ780.Count","DBQ780.Cumulative","DBQ780.Skip.to.Item"
"1","Always",680,680,NA
"2","Most of the time",1196,1876,NA
"3","Sometimes",1912,3788,NA
"4","Rarely",929,4717,NA
"5","Never",456,5173,NA
"6","Never seen",13,5186,NA
"7","Refused",0,5186,NA
"9","Don't know",12,5198,NA
".","Missing",1201,6399,NA
