"URDUCRLC.Code.or.Value","URDUCRLC.Value.Description","URDUCRLC.Count","URDUCRLC.Cumulative","URDUCRLC.Skip.to.Item"
"0","At or above the detection limit",8274,8274,NA
"1","Below lower detection limit",6,8280,NA
".","Missing",328,8608,NA
