"CIQG17B.Code.or.Value","CIQG17B.Value.Description","CIQG17B.Count","CIQG17B.Cumulative","CIQG17B.Skip.to.Item"
"1","Yes",54,54,NA
"2","No",26,80,NA
"7","Refused",0,80,NA
"9","Don't know",0,80,NA
".","Missing",848,928,NA
