"URXCOTT.Code.or.Value","URXCOTT.Value.Description","URXCOTT.Count","URXCOTT.Cumulative","URXCOTT.Skip.to.Item"
"0.021 to 26800","Range of Values",2453,2453,NA
".","Missing",152,2605,NA
