"LEARPTPD.Code.or.Value","LEARPTPD.Value.Description","LEARPTPD.Count","LEARPTPD.Cumulative","LEARPTPD.Skip.to.Item"
"1","Yes",178,178,NA
"2","No",48,226,NA
"8","Could not obtain",0,226,NA
".","Missing",2958,3184,NA
