"LBC138LA.Code.or.Value","LBC138LA.Value.Description","LBC138LA.Count","LBC138LA.Cumulative","LBC138LA.Skip.to.Item"
"0.8119 to 103.8","Range of Values",251,251,NA
".","Missing",0,251,NA
