"DXXLALI.Code.or.Value","DXXLALI.Value.Description","DXXLALI.Count","DXXLALI.Cumulative","DXXLALI.Skip.to.Item"
"521.9 to 8139.2","Range of Values",5347,5347,NA
".","Missing",686,6033,NA
