"LBXMO1.Code.or.Value","LBXMO1.Value.Description","LBXMO1.Count","LBXMO1.Cumulative","LBXMO1.Skip.to.Item"
"1","Sensitive",237,237,NA
"2","Resistant",133,370,NA
"3","Intermediate",0,370,NA
"4","No Result",0,370,NA
".","Missing",8809,9179,NA
