"URXP07.Code.or.Value","URXP07.Value.Description","URXP07.Count","URXP07.Cumulative","URXP07.Skip.to.Item"
"3.5 to 6336.7","Range of Values",2410,2410,NA
".","Missing",228,2638,NA
