"URDMADLC.Code.or.Value","URDMADLC.Value.Description","URDMADLC.Count","URDMADLC.Cumulative","URDMADLC.Skip.to.Item"
"0","At or above the detection limit",2441,2441,NA
"1","Below lower detection limit",25,2466,NA
".","Missing",85,2551,NA
