"DXXPT28Y.Code.or.Value","DXXPT28Y.Value.Description","DXXPT28Y.Count","DXXPT28Y.Cumulative","DXXPT28Y.Skip.to.Item"
"88.5 to 323","Range of Values",3298,3298,NA
".","Missing",410,3708,NA
