"WTSPH19.Code.or.Value","WTSPH19.Value.Description","WTSPH19.Count","WTSPH19.Cumulative","WTSPH19.Skip.to.Item"
"0.0000000 to 806797.8028000","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
