"LBDLDMSI.Code.or.Value","LBDLDMSI.Value.Description","LBDLDMSI.Count","LBDLDMSI.Cumulative","LBDLDMSI.Skip.to.Item"
"0.543 to 9.258","Range of Values",2808,2808,NA
".","Missing",228,3036,NA
