"DX2TRTOT.Code.or.Value","DX2TRTOT.Value.Description","DX2TRTOT.Count","DX2TRTOT.Cumulative","DX2TRTOT.Skip.to.Item"
"16640.3 to 71726.8","Range of Values",443,443,NA
".","Missing",42,485,NA
