"SMD440.Code.or.Value","SMD440.Value.Description","SMD440.Count","SMD440.Cumulative","SMD440.Skip.to.Item"
"1 to 2","Range of Values",147,147,NA
"3","3 or More",58,205,NA
".","Missing",9917,10122,NA
