"WTSAU34.Code.or.Value","WTSAU34.Value.Description","WTSAU34.Count","WTSAU34.Cumulative","WTSAU34.Skip.to.Item"
"0 to 478083.33953","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
