"DR1IVC.Code.or.Value","DR1IVC.Value.Description","DR1IVC.Count","DR1IVC.Cumulative","DR1IVC.Skip.to.Item"
"0 to 1551.8","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
