"DS2ANCNT.Code.or.Value","DS2ANCNT.Value.Description","DS2ANCNT.Count","DS2ANCNT.Cumulative","DS2ANCNT.Skip.to.Item"
"0 to 1","Range of Values",7567,7567,NA
".","Missing",2246,9813,NA
