"DXDLALE.Code.or.Value","DXDLALE.Value.Description","DXDLALE.Count","DXDLALE.Cumulative","DXDLALE.Skip.to.Item"
"533.8 to 7394.7","Range of Values",4671,4671,NA
".","Missing",1021,5692,NA
