"URXHEM.Code.or.Value","URXHEM.Value.Description","URXHEM.Count","URXHEM.Cumulative","URXHEM.Skip.to.Item"
"0.559 to 71.8","Range of Values",2586,2586,NA
".","Missing",169,2755,NA
