"VIQ071.Code.or.Value","VIQ071.Value.Description","VIQ071.Count","VIQ071.Cumulative","VIQ071.Skip.to.Item"
"1","Yes",631,631,""
"2","No",5300,5931,"VIQ090"
"7","Refused",0,5931,"VIQ090"
"9","Don't Know",4,5935,"VIQ090"
".","Missing",1238,7173,""
