"DXXPT65X.Code.or.Value","DXXPT65X.Value.Description","DXXPT65X.Count","DXXPT65X.Cumulative","DXXPT65X.Skip.to.Item"
"513.5 to 1093.2","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
