"DXXWDGRT.Code.or.Value","DXXWDGRT.Value.Description","DXXWDGRT.Count","DXXWDGRT.Cumulative","DXXWDGRT.Skip.to.Item"
"0.6 to 1.1","Range of Values",3300,3300,NA
".","Missing",408,3708,NA
