"TYXP133.Code.or.Value","TYXP133.Value.Description","TYXP133.Count","TYXP133.Cumulative","TYXP133.Skip.to.Item"
"-293 to 68","Range of Values",4683,4683,NA
".","Missing",902,5585,NA
