"AUDTYL32.Code.or.Value","AUDTYL32.Value.Description","AUDTYL32.Count","AUDTYL32.Cumulative","AUDTYL32.Skip.to.Item"
"0 to 1.5","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
