"PAXSSNDP.Code.or.Value","PAXSSNDP.Value.Description","PAXSSNDP.Count","PAXSSNDP.Cumulative","PAXSSNDP.Skip.to.Item"
"0 to 52718400","Range of Values",61168,61168,NA
".","Missing",0,61168,NA
