"RHQ560Q.Code.or.Value","RHQ560Q.Value.Description","RHQ560Q.Count","RHQ560Q.Cumulative","RHQ560Q.Skip.to.Item"
"1 to 44","Range of Values",245,245,NA
"77","Refused",0,245,NA
"99","Don't know",8,253,NA
".","Missing",3045,3298,NA
