"BIXC177K.Code.or.Value","BIXC177K.Value.Description","BIXC177K.Count","BIXC177K.Cumulative","BIXC177K.Skip.to.Item"
"9.79 to 167.59","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
