"SSII4UOM.Code.or.Value","SSII4UOM.Value.Description","SSII4UOM.Count","SSII4UOM.Cumulative","SSII4UOM.Skip.to.Item"
"0 to 3.5","Range of Values",944,944,NA
".","Missing",2,946,NA
