"DR1TWS.Code.or.Value","DR1TWS.Value.Description","DR1TWS.Count","DR1TWS.Cumulative","DR1TWS.Skip.to.Item"
"1","Community supply",5490,5490,NA
"2","Well or rain cistern",645,6135,NA
"3","Spring",87,6222,NA
"4","Don't drink tap water",1879,8101,NA
"91","Other",0,8101,NA
"99","Don't know",517,8618,NA
".","Missing",720,9338,NA
