"DXXPT90X.Code.or.Value","DXXPT90X.Value.Description","DXXPT90X.Count","DXXPT90X.Cumulative","DXXPT90X.Skip.to.Item"
"400.6 to 996.2","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
