"DR2DBIH.Code.or.Value","DR2DBIH.Value.Description","DR2DBIH.Count","DR2DBIH.Cumulative","DR2DBIH.Skip.to.Item"
"-28 to 165","Range of Values",8429,8429,NA
".","Missing",1824,10253,NA
