"RFXT168.Code.or.Value","RFXT168.Value.Description","RFXT168.Count","RFXT168.Cumulative","RFXT168.Skip.to.Item"
"1468 to 1477","Range of Values",33667,33667,NA
".","Missing",54,33721,NA
