"LBDVTPLC.Code.or.Value","LBDVTPLC.Value.Description","LBDVTPLC.Count","LBDVTPLC.Cumulative","LBDVTPLC.Skip.to.Item"
"0","At or above detection limit",0,0,NA
"1","Below lower detection limit",3036,3036,NA
"2","Detectable result and exceeds the calibrated range of assay",0,3036,NA
".","Missing",358,3394,NA
