"LBDVTCLC.Code.or.Value","LBDVTCLC.Value.Description","LBDVTCLC.Count","LBDVTCLC.Cumulative","LBDVTCLC.Skip.to.Item"
"0","At or above detection limit",18,18,NA
"1","Below lower detection limit",2848,2866,NA
".","Missing",306,3172,NA
